"File name","ConType_1","ConType_2","ConType_3","ConType_4","ConType_5","Notes"
"pompeiiinpictures Ferebee 10405 May 2017 DSCN1948.JPG","opus vittatum mixtum","opus incertum",,,,
"pompeiiinpictures Ferebee 10405 May 2017 DSCN1949.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10405 May 2017 DSCN1950.JPG","opus vittatum mixtum","opus incertum",,,,
"pompeiiinpictures Ferebee 10405 May 2017 DSCN1951.JPG","opus vittatum",,,,,
"pompeiiinpictures Ferebee 10405 May 2017 DSCN1952.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7127.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7128.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7129.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7130.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7131.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7132.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7133.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7134.JPG","opus incertum","opus latericium / opus testaceum","opus vittatum",,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7135.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7136.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7137.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7138.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7139.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7140.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7141.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7142.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7143.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7144.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7145.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7146.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7147.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7148.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7149.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7150.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7151.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7152.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7153.JPG","opus vittatum","opus incertum",,,,"need a second look at this one, also are arches framework?"
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7154.JPG","opus vittatum","opus incertum",,,,"need a second look at this one, also are arches framework?"
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7155.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7156.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7157.JPG","opus incertum","a telaio (framework)",,,,"are arches framework?"
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7158.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7159.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7160.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7161.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7162.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7163.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7164.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7165.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7166.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7167.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7168.JPG","opus incertum","opus latericium / opus testaceum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7169.JPG","opus incertum","opus latericium / opus testaceum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7170.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7171.JPG","opus vittatum","opus incertum",,,,"?"
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7172.JPG","opus incertum","a telaio (framework)",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7173.JPG","opus incertum","a telaio (framework)",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7174.JPG","opus incertum","opus vittatum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7175.JPG","opus incertum",,,,,"framework?"
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7176.JPG","opus incertum","a telaio (framework)",,,,"framework?"
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7177.JPG","opus incertum","a telaio (framework)",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7178.JPG","opus vittatum",,,,,"is latericium just for bricks?"
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7179.JPG","opus vittatum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7180.JPG","opus incertum","opus vittatum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7182.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7183.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7184.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7185.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7186.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7187.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7188.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7189.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7190.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7191.JPG","opus incertum","opus vittatum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7192.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7193.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7194.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7195.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7196.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7197.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7198.JPG","opus vittatum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7199.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7200.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7201.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7202.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7204.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7205.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7206.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7207.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7208.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7209.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7210.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7211.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7212.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7213.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7214.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7215.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7216.JPG","opus latericium / opus testaceum","opus incertum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7217.JPG","opus latericium / opus testaceum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7218.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7219.JPG","opus incertum","opus latericium / opus testaceum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7220.JPG","opus incertum","opus latericium / opus testaceum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7221.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7222.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7223.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7224.JPG","opus vittatum","opus incertum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7225.JPG","opus vittatum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7226.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7227.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7228.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7229.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7230.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7231.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7232.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7233.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7234.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7235.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7236.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7237.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7238.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7239.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7240.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7241.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7242.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7243.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7244.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7245.JPG","No visible ConType",,,,,
